,Max Leaf Nodes,Training Acc,Validation Acc
0,2,0.6350174216027874,0.5792682926829268
1,3,0.756678281068525,0.7181571815718157
2,4,0.8522067363530779,0.8204607046070461
3,5,0.9233449477351916,0.9105691056910569
4,6,0.991869918699187,0.986449864498645
5,7,0.9941927990708479,0.989159891598916
6,8,0.9941927990708479,0.989159891598916
7,9,0.9956445993031359,0.9939024390243902
8,10,0.9979674796747967,0.9966124661246613
9,11,0.9973867595818815,0.9979674796747967
10,12,0.9973867595818815,0.9979674796747967
11,13,0.9973867595818815,0.9979674796747967
12,14,0.9973867595818815,0.9979674796747967
13,15,0.9973867595818815,0.9979674796747967
14,16,0.9988385598141696,0.9986449864498645
15,17,1.0,1.0
16,18,0.9988385598141696,0.9986449864498645
17,19,0.9988385598141696,0.9986449864498645
18,20,0.9988385598141696,0.9986449864498645
19,21,0.9988385598141696,0.9986449864498645
20,22,0.9988385598141696,0.9986449864498645
21,23,0.9988385598141696,0.9986449864498645
22,24,1.0,1.0
23,25,0.9988385598141696,0.9986449864498645
24,26,1.0,1.0
25,27,1.0,1.0
26,28,1.0,1.0
27,29,1.0,1.0
28,30,1.0,1.0
29,31,1.0,1.0
30,32,1.0,1.0
31,33,1.0,1.0
32,34,1.0,1.0
33,35,1.0,1.0
34,36,1.0,1.0
35,37,1.0,1.0
36,38,1.0,1.0
37,39,1.0,1.0
38,40,1.0,1.0
39,41,1.0,1.0
40,42,1.0,1.0
41,43,1.0,1.0
42,44,1.0,1.0
43,45,1.0,1.0
44,46,1.0,1.0
45,47,1.0,1.0
46,48,1.0,1.0
47,49,1.0,1.0
48,50,1.0,1.0
49,51,1.0,1.0
50,52,1.0,1.0
51,53,1.0,1.0
52,54,1.0,1.0
53,55,1.0,1.0
54,56,1.0,1.0
55,57,1.0,1.0
56,58,1.0,1.0
57,59,1.0,1.0
58,60,1.0,1.0
59,61,1.0,1.0
60,62,1.0,1.0
61,63,1.0,1.0
62,64,1.0,1.0
63,65,1.0,1.0
64,66,1.0,1.0
65,67,1.0,1.0
66,68,1.0,1.0
67,69,1.0,1.0
68,70,1.0,1.0
69,71,1.0,1.0
70,72,1.0,1.0
71,73,1.0,1.0
72,74,1.0,1.0
73,75,1.0,1.0
74,76,1.0,1.0
75,77,1.0,1.0
76,78,1.0,1.0
77,79,1.0,1.0
78,80,1.0,1.0
79,81,1.0,1.0
80,82,1.0,1.0
81,83,1.0,1.0
82,84,1.0,1.0
83,85,1.0,1.0
84,86,1.0,1.0
85,87,1.0,1.0
86,88,1.0,1.0
87,89,1.0,1.0
88,90,1.0,1.0
89,91,1.0,1.0
90,92,1.0,1.0
91,93,1.0,1.0
92,94,1.0,1.0
93,95,1.0,1.0
94,96,1.0,1.0
95,97,1.0,1.0
96,98,1.0,1.0
97,99,1.0,1.0
